game title,link,date released,game cover,price
Grand Theft Auto V,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?snr=1_7_7_7000_150_1,"13 Apr, 2015",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/271590/capsule_sm_120.jpg?t=1726606628,-66%-66%Rp 588 500Rp 200 090
Call of Duty®: Modern Warfare® III,https://store.steampowered.com/app/2519060/Call_of_Duty_Modern_Warfare_III/?snr=1_7_7_7000_150_1,"10 Nov, 2023",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2519060/capsule_sm_120.jpg?t=1722897441,-50%Rp 1 050 000Rp 525 000
The Crew™ 2,https://store.steampowered.com/app/646910/The_Crew_2/?snr=1_7_7_7000_150_1,"28 Jun, 2018",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/646910/capsule_sm_120.jpg?t=1699983385,-98%Rp 515 000Rp 10 300
Dead by Daylight,https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_7000_150_1,"14 Jun, 2016",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/381210/capsule_sm_120.jpg?t=1726152679,Rp 219 890
Frostpunk,https://store.steampowered.com/app/323190/Frostpunk/?snr=1_7_7_7000_150_1,"24 Apr, 2018",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/323190/capsule_sm_120.jpg?t=1724859064,-90%Rp 245 999Rp 24 599
Like a Dragon: Infinite Wealth,https://store.steampowered.com/app/2072450/Like_a_Dragon_Infinite_Wealth/?snr=1_7_7_7000_150_1,"25 Jan, 2024",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2072450/capsule_sm_120.jpg?t=1709543079,-40%Rp 789 000Rp 473 400
ELDEN RING,https://store.steampowered.com/app/1245620/ELDEN_RING/?snr=1_7_7_7000_150_1,"24 Feb, 2022",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1245620/capsule_sm_120.jpg?t=1726158298,Rp 599 000
The First Descendant,https://store.steampowered.com/app/2074920/The_First_Descendant/?snr=1_7_7_7000_150_1,"30 Jun, 2024",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2074920/aa446a79751bb1ccd32d77fa4edcce286439b50a/capsule_sm_120.jpg?t=1725356337,Free
NieR:Automata™,https://store.steampowered.com/app/524220/NieRAutomata/?snr=1_7_7_7000_150_1,"17 Mar, 2017",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/524220/capsule_sm_120.jpg?t=1724998626,-60%Rp 579 000Rp 231 600
Little Nightmares,https://store.steampowered.com/app/424840/Little_Nightmares/?snr=1_7_7_7000_150_1,"27 Apr, 2017",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/424840/capsule_sm_120.jpg?t=1701889428,-80%Rp 199 000Rp 39 800
Little Nightmares II,https://store.steampowered.com/app/860510/Little_Nightmares_II/?snr=1_7_7_7000_150_1,"10 Feb, 2021",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/860510/capsule_sm_120.jpg?t=1711727324,-67%Rp 299 000Rp 98 670
PICO PARK 2,https://store.steampowered.com/app/2644470/PICO_PARK_2/?snr=1_7_7_7000_150_1,"12 Sep, 2024",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2644470/capsule_sm_120.jpg?t=1726124432,-10%Rp 80 000Rp 72 000
Human Fall Flat,https://store.steampowered.com/app/477160/Human_Fall_Flat/?snr=1_7_7_7000_150_1,"22 Jul, 2016",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/477160/e8a3986fd1d0fa8b4ed5ec0208a8f4351968089a/capsule_sm_120_alt_assets_9.jpg?t=1726491439,-70%Rp 125 999Rp 37 799
